csv_id,tdn,pin,name,market_val,ass_value,area,unit_value,kind,ass_level,classification,sub_class,taxability,trans_cd,tax_beg_yr,eff_date,owner_no,mun_code,municipality,bcode,barangay,gr_code,gr
CSV001,001-001-001,001-001-001-001,JUAN DELA CRUZ,500000,100000,100,5000,LAND,20,RESIDENTIAL,RESIDENTIAL LOT,Taxable,NEW,2025,2025-01-01,12345,001,BUTUAN CITY,001,BARANGAY 1,001,GR 1
CSV002,001-001-002,001-001-002-001,MARIA SANTOS,750000,150000,150,5000,LAND,20,RESIDENTIAL,RESIDENTIAL LOT,Taxable,NEW,2025,2025-01-01,12346,001,BUTUAN CITY,001,BARANGAY 1,001,GR 1
CSV003,001-001-003,001-001-003-001,PEDRO GARCIA,300000,60000,80,3750,LAND,20,AGRICULTURAL,AGRICULTURAL LOT,Exempt,NEW,2025,2025-01-01,12347,001,BUTUAN CITY,002,BARANGAY 2,002,GR 2
CSV004,001-002-001,001-002-001-001,ANNA REYES,1200000,240000,200,6000,BUILDING,20,COMMERCIAL,OFFICE BUILDING,Taxable,NEW,2025,2025-01-01,12348,001,BUTUAN CITY,003,BARANGAY 3,003,GR 3
CSV005,001-002-002,001-002-002-001,CARLOS LOPEZ,850000,170000,120,7083,BUILDING,20,RESIDENTIAL,SINGLE FAMILY DWELLING,Taxable,UPDATE,2025,2025-01-01,12349,001,BUTUAN CITY,003,BARANGAY 3,003,GR 3
CSV006,001-003-001,001-003-001-001,ROSA MARTINEZ,2500000,500000,500,5000,LAND,20,INDUSTRIAL,INDUSTRIAL LOT,Taxable,NEW,2025,2025-01-01,12350,001,BUTUAN CITY,004,BARANGAY 4,004,GR 4
CSV007,001-003-002,001-003-002-001,MIGUEL TORRES,180000,36000,60,3000,LAND,20,AGRICULTURAL,RICE FIELD,Exempt,NEW,2025,2025-01-01,12351,001,BUTUAN CITY,005,BARANGAY 5,005,GR 5
CSV008,001-004-001,001-004-001-001,ELENA CRUZ,950000,190000,180,5278,BUILDING,20,RESIDENTIAL,DUPLEX,Taxable,NEW,2025,2025-01-01,12352,001,BUTUAN CITY,006,BARANGAY 6,006,GR 6
CSV009,001-004-002,001-004-002-001,FRANCISCO RAMOS,3200000,640000,800,4000,LAND,20,COMMERCIAL,COMMERCIAL LOT,Taxable,UPDATE,2025,2025-01-01,12353,001,BUTUAN CITY,007,BARANGAY 7,007,GR 7
CSV010,001-005-001,001-005-001-001,GOVERNMENT OF AGUSAN DEL NORTE,0,0,1000,0,LAND,0,GOVERNMENT,PUBLIC SCHOOL,Exempt,NEW,2025,2025-01-01,99999,001,BUTUAN CITY,008,BARANGAY 8,008,GR 8
